DILIrank_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
phendimetrazine,0.7890243142429155,0.9744474234023065,1.3137780130421377,0.7302468259622591,-0.7100301793529958,-1.0061138266426792,1.76255062559851,-0.7446681002919703,1.5872395381962892,1.0526444029864168,-0.8030281016227981,-0.8709705965488093,-0.4619531379975243,-0.4540909606101725,-0.7841335818029204,-0.35503351239648573,-0.19023535260720287,-0.8604558211306369,-0.7909115901579848,-0.8505566623313565,-0.5695900198344018,0.7050827351555683
phenoxybenzamine,0.7943140342545836,0.9435278368078511,1.212722656256101,0.733382983157328,1.2973590937454793,1.4719245852105587,2.0325905805400635,-0.28971956779360264,-0.3943905711794561,1.0152262321361762,1.7973383067627897,-0.569070825169028,2.0087427016270554,2.227951952068586,-0.7577169920988939,1.836181266268067,3.971658847538269,1.3652769136307468,2.618589820965974,-0.444557766473202,-0.7746696743015024,0.2690394041561786
phentolamine,0.6736742907626678,0.7655621056720232,-1.0189440835220966,1.022780599880072,-1.1111320010148829,1.8182791192860732,1.9514900563674527,-0.34908352180320507,-0.33810353118813125,-1.22073763574405,-0.9915339259811294,-0.8200990051704761,2.0087427016270554,-0.785719141466897,-0.7578942846472431,-0.3763513779316339,3.3283266590438574,1.3695092731059018,-0.4001434159866621,-0.674499932891722,-0.7809192800245405,0.5300460924744451
physostigmine,0.7943140342545836,0.9928281914699782,0.9537890125567973,0.8330430895784054,-0.5021152897649788,-0.81353429172384,-0.6237171991833756,-0.5975715770823367,-0.46650324270457383,1.2678445172909707,-0.9915339259811294,-0.8200990051704761,2.0089012828747848,-0.8845167036804626,-0.7577169920988939,-0.3382036185529478,-0.05782260296728886,-0.9578000890592044,-0.9631244990767035,-0.8317432123516594,-0.4689019276298999,2.419838820788188
pimozide,0.7898774948899586,0.951507084961259,-1.4915849571459698,0.8344369372206584,1.7359075307890817,1.8755238270013315,1.9086378143373832,-0.5952075258164674,-0.8999950260580528,1.1324089915793687,1.7904248902215307,-0.819914017565464,2.0089012828747848,-0.8845167036804626,1.9316336738096702,2.7842652861207084,3.8295573601198245,1.9053910958832347,-0.7123652234903822,-0.858685930841102,-0.7809192800245405,0.6556194008411167
pindolol,0.7859528639135598,0.55881408655426,1.4612194352381587,0.8393154039685431,-1.1022012182669425,-0.9804579352296782,-0.8243436050514282,-0.7228662941733996,2.0417777799813073,-1.3607363530227548,-0.8014917868358518,-0.8200990051704761,1.3853598168026506,-0.8843439806695998,-0.7578942846472431,-0.3512935359868106,-0.03599064717300064,-0.5308201312387476,-0.979815601993569,-0.8630989623178211,-0.7445789800794673,0.9433542170920687
plerixafor,0.6782814662567015,0.5499799189558442,-0.902813255477815,1.0848068199603231,-0.9215487181200066,-0.7014501161132919,1.5215510330244415,-0.8778429882692638,1.447092966159918,-1.4954417680836207,-0.9517433729992161,-0.8572815137779124,-0.5412437618622411,-0.899716328636396,-0.8477816066602726,-0.31654915514092885,-0.32045198835065,1.4401571197296448,-0.7221835193238325,-0.8024778457165749,-0.7401811093854778,0.2702617270799295
pramlintide,-0.9120472598319205,-0.4284753858557895,-0.00772785758444387,-0.32228237489391,0.3505394420647046,0.5305137196747519,0.6239559303367465,1.4612544031267891,0.5866354330751427,-0.06844050121932607,0.39821643029064346,0.8579235598944726,0.5924535781554814,0.6744811923678677,0.7154067921343622,-0.6628709706768444,-0.6434099143016596,0.4090892383591628,0.8302854178613325,1.3125255557046798,1.533749506285849,-1.4554952648664483
primaquine,0.756091541267046,0.9660407155263947,-0.9390937852091954,1.0747014245539899,-1.025427822714472,-0.7011294174706294,1.5980475973095243,-0.8247831709686458,2.0416146291407524,0.9761653123217789,1.7973383067627897,-0.8624611667182519,2.0089012828747848,2.227951952068586,-0.7578942846472431,-0.4737403636395739,-0.13584923787705286,1.7377245474443972,2.618393455049305,-0.8435887178944316,-0.7809192800245405,0.5388468175254514
primidone,0.7784448742195792,0.9453801622720353,-0.9342895141488756,0.5875516735866255,-0.48926749703987144,-0.9203269397304572,-0.8454155753058838,-0.6298802777158812,-0.9006476294202711,-1.3211278502203052,-0.9913802945024348,-0.8200990051704761,-0.8728371508644874,-0.8845167036804626,-0.7577169920988939,-0.338166218788851,-0.0031781218963780507,-1.012820762236221,2.618589820965974,-0.5023917052996782,-0.7392552418709535,0.33243721980139
