DB_ID,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C9 inhibitor,CYP450 2D6 inhibitor,CYP450 2C19 inhibitor,CYP450 3A4 inhibitor,CYP450 inhibitory promiscuity,hERG inhibition (predictor I),hERG inhibition (predictor II),Ames test,Carcinogenicity,Biodegradation,Rat acute toxicity(LD50-mol/kg)
DB00620,0.770358151,0.930936086,1.21954911,1.07531698,-1.043626227,-1.029780588,-0.80766417,-0.874861745,-0.875046755,1.204931148,-1.017073596,-0.810133653,-0.87215829,-0.90754665,-0.901810679,-0.299284141,0.044680075,1.42009365,-0.919869496,-0.88991176,-0.761518641,0.471712384
DB00983,0.63021233,-1.578761703,-1.212016147,0.946348584,-1.045834576,-0.84142771,-0.923938681,-0.424050695,-0.545789058,0.931787943,-0.626213063,-0.834703864,2.023153156,2.265595272,-0.857355844,-0.335869568,0.048321905,-0.677115986,-0.647822519,-0.706047276,-0.754168309,0.527273834
DB04894,0.74222792,-1.749611017,-1.379013188,1.139976884,-1.136219151,-0.995637583,-0.879063987,-0.694852211,-0.615927807,0.977891149,-0.850398946,-0.330170513,-0.721510272,-0.406090671,-0.614276806,1.415517469,0.057166351,1.509406734,-0.573572561,-0.697720488,-0.757613777,0.79672228
DB06228,0.794445714,0.921500057,1.121865184,-1.36612153,1.335712225,1.450198964,-0.695749954,-0.614556412,-0.833032101,1.00643123,-0.604627076,-0.45302157,-0.598760034,1.82408265,-0.485713423,2.140118411,-0.001697522,1.433276393,-0.37293538,-0.736203752,-0.736711269,0.55235024
DB01137,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB01624,0.706349242,0.952095666,-0.939690351,1.173361074,1.716021493,1.747615278,1.737112504,-0.622953358,2.198711032,-1.314462747,1.796813874,-0.834703864,2.023153156,2.006892362,-0.777692779,2.420681502,3.866966966,1.56806994,-0.668109393,-0.779187983,-0.761978037,0.9230877
DB00711,0.757387925,0.97711544,0.973215733,0.921046882,-0.666471743,-1.033016891,-0.456115454,-0.797452397,-0.893910477,-1.173225939,-0.866588436,-0.787814148,-0.827681256,-0.912980112,-1.059002975,-0.29202691,-0.294381775,-0.868924897,-0.786990473,-0.813845425,-0.427997297,0.411889585
DB06016,-0.88427214,-0.431283382,-0.037090882,-0.366177193,0.338011634,0.543872103,0.678106062,1.449517931,0.669377627,-0.084677999,0.392799666,0.866455058,0.599409817,0.689190144,0.699808116,-0.651671383,-0.665997129,0.410789885,0.877141781,1.252773366,1.524434813,-1.443354747
DB00276,0.800172827,0.522327434,0.812334555,-1.712087159,-0.5492715,-0.617637307,-0.953915703,-0.499360806,-0.748145351,-1.028513095,1.796968059,-0.834891423,-0.872317706,-0.892648447,-0.777692779,2.734163995,-0.09289193,1.622778324,2.724667373,-0.56966799,-0.77254414,0.401236209
DB00419,0.647225224,-1.719587288,-1.129961649,1.054935053,-0.714108989,-1.002433821,-0.697203385,-0.708497248,-0.642508507,-1.148893691,-1.023857763,-0.794378708,-0.871361211,-0.973098742,-1.052601479,-0.279794359,-0.169890631,-0.991194839,-0.832230201,-0.906565336,0.200685842,0.294210762
